,identifier,open,dayHigh,dayLow,lastPrice,previousClose,change,pChange,yearHigh,yearLow,totalTradedVolume,totalTradedValue,lastUpdateTime,perChange365d,perChange30d
269,TV18BRDCSTEQN,47.0,48.7,46.6,47.5,46.8,0.7000000000000001,1.5,48.7,27.35,34896273,1664203259.37,22-Aug-2023 15:59:49,14.85,14.99
270,JKLAKSHMIEQN,660.8,671.95,656.1,667.9,658.1,9.8,1.49,896.9,451.5,156463,103946194.05,22-Aug-2023 15:59:16,43.39,-0.5700000000000001
271,KALYANKJILEQN,221.35,226.35,215.5,222.95,219.85,3.1,1.4100000000000001,228.35,69.75,5627528,1243796238.56,22-Aug-2023 15:59:02,214.07,26.31
272,KECEQN,655.0,668.5,647.1,661.0,652.2,8.8,1.35,699.0,397.6,414641,274226971.76,22-Aug-2023 15:59:05,60.72,5.02
273,KARURVYSYAEQN,119.5,122.95,119.5,122.3,120.75,1.55,1.28,137.75,62.55,1302007,158363111.41,22-Aug-2023 15:57:31,87.65,-6.54
274,JSLEQN,423.9,427.0,406.05,426.85,421.5,5.35,1.27,427.0,120.0,613610,258477076.4,22-Aug-2023 15:59:35,234.66,13.41
275,KRBLEQN,405.2,409.0,404.25,408.9,403.8,5.1,1.26,445.0,275.65,449672,183038987.6,22-Aug-2023 15:59:41,39.63,9.14
276,BCGEQN,23.65,24.75,23.45,24.45,24.15,0.30000000000000004,1.24,48.8,9.35,19148979,462639332.64,22-Aug-2023 15:59:45,-45.49,-8.7
277,INDIAMARTEQN,3129.0,3167.1,3100.0,3152.0,3113.6,38.4,1.23,3335.55,2018.75,139674,439020523.32,22-Aug-2023 15:58:57,-27.55,-1.19
278,STLTECHEQN,152.0,154.65,151.3,153.0,151.35,1.65,1.09,193.0,142.0,1087451,166271257.9,22-Aug-2023 15:59:53,-6.49,-0.43
279,KEIEQN,2550.0,2562.0,2533.45,2550.0,2522.9,27.1,1.07,2815.15,1337.0,157055,399968827.4,22-Aug-2023 15:57:56,80.77,-1.78
280,TEJASNETEQN,838.2,865.0,836.6,846.0,838.2,7.8,0.93,893.3,485.5,1026895,875725787.05,22-Aug-2023 15:59:59,71.6,-0.84
281,EXIDEINDEQN,265.0,268.8,264.45,266.8,264.5,2.3,0.87,271.5,152.7,1503735,400940863.05,22-Aug-2023 15:59:45,65.11,5.04
